,diffSize,diffSlope,avgMsdSlopeMT,avgMsdSlopePI
0,-0.21327871005730548,0.2228175197236737,1.216414026181244,0.9935965064575702
1,-0.13842627803890561,0.15724336333255684,0.268525808852833,0.11128244552027615
2,-0.5772701419598222,0.09699631965092259,0.10196362190651476,0.004967302255592164
3,-0.3413183165874903,0.18994571551323097,0.2467954805697378,0.05684976505650683
4,-0.36941246166469793,0.37350878722198383,0.42695744864128127,0.05344866141929745
5,-0.43872976361080873,-0.05207959952526131,0.08401625272937058,0.1360958522546319
6,-0.0513146641540283,0.43090187963447807,0.729190964575921,0.29828908494144296
7,-0.32556521992449516,-0.10394780324465273,0.03286877325224112,0.13681657649689385
8,-0.4154232075597548,0.2803487768876095,0.3818582261839087,0.10150944929629915
9,-0.14387299254100405,-0.03241556301478568,0.0824825346743593,0.11489809768914498
10,-0.29005130798676926,0.08692624816035698,0.16718005872178165,0.08025381056142468
11,-0.39581355151193365,0.0010316407884041617,0.049791193282518215,0.04875955249411405
