,pivDiameter
0,0.808156850095447
1,0.805477195657971
2,0.804070982398592
3,0.807617469495807
4,0.80656372008519
5,0.814979246437707
6,0.778313870342844
7,0.792220824840399
8,0.795188763925378
9,0.793945022946286
10,0.791637883271261
11,0.767641931497456
