,pivDiameter
0,0.7946904138964
1,0.798120803111607
2,0.804633779072337
3,0.803478399373754
4,0.779944887494502
5,0.799207113339844
6,0.768525891199978
7,0.762765068150589
8,0.746074899475832
9,0.756780925020419
10,0.764182068487522
11,0.768137919212684
