,diffSize,diffSlope,avgMsdSlopeMT,avgMsdSlopePI
0,0.0028144199602665454,0.3327431957157271,1.1265686882665673,0.7938254925508402
1,0.2749429998465751,0.10200064756303884,0.6851782324534866,0.5831775848904478
2,-0.0604128365814679,2.536102156151958,2.640997215140217,0.10489505898825872
3,-0.23857271062061802,0.03266294329133203,0.05071192213101253,0.018048978839680496
4,-0.3334409168579882,0.0175494971753588,0.04922870357364418,0.03167920639828538
5,-0.27990994257160395,0.032742390545279415,0.04620971304223599,0.013467322496956573
6,0.09419154749357483,0.020974769640444414,0.025224811370789642,0.004250041730345229
7,-0.2567645092355576,0.008036253410419955,0.044527816165296295,0.03649156275487634
8,-0.025193900948655812,0.016088522676851805,0.056507762465086125,0.04041923978823432
9,-0.3307201901563734,-0.037238947247329415,0.08418544131038172,0.12142438855771114
10,-0.07532176194924711,0.03465408312246471,0.07660885032446293,0.04195476720199823
11,-0.23859451089510997,0.04093606046336093,0.10441886111723067,0.06348280065386974
