,diffSize,diffSlope,avgMsdSlopeMT,avgMsdSlopePI
0,0.17601024953224564,0.5461096112525268,0.5798658592867182,0.03375624803419146
1,-0.20852868938696356,0.12016205569590452,0.3155433130900045,0.19538125739409998
2,-0.12142461305050734,0.3185727971829156,0.7707269616136191,0.4521541644307035
3,-0.339102888973992,0.017123231244043996,0.10637751666631957,0.08925428542227558
4,-0.4009700662146626,0.0019633185152542476,0.10390517701836836,0.10194185850311412
5,-0.22875333697481026,0.07504382473157423,0.1309587637501252,0.055914939018550956
6,-0.1434716251813768,0.02562217865884086,0.03432100372840554,0.008698825069564682
7,-0.2630597959405485,0.011541773510672478,0.03152004892896192,0.019978275418289445
8,-0.14646628118678906,0.004314070235946956,0.01939167928769692,0.015077609051749964
9,-0.23796871085157356,0.2625392823543091,0.3152131637327097,0.052673881378400594
10,-0.45813201566368317,0.005965646814081432,0.0419063160329188,0.035940669218837366
11,-0.23107601596643657,0.05752326183810615,0.09824708086086731,0.040723819022761155
