,diffSize,diffSlope,avgMsdSlopeMT,avgMsdSlopePI
0,-0.27090909538281094,-0.05098254995606877,0.5628432463290106,0.6138257962850794
1,-0.27642835531188437,0.32311025987010433,1.1378399925654719,0.8147297326953675
2,-0.29363277862848314,0.055438875746347094,0.72320984740622,0.6677709716598729
3,-0.42178448860953544,0.13395793504379913,0.14741866127262584,0.013460726228826705
4,-0.1472934815748106,0.3380130233506439,0.35020012969761927,0.01218710634697535
5,-0.36867886679497913,0.10449964028530401,0.12019950099745524,0.015699860712151244
6,-0.28587053711917065,0.056093165498324674,0.1431381765255076,0.08704501102718291
7,-0.24503415247141536,0.026801997602799596,0.05342771755242414,0.026625719949624545
8,-0.2076733959614342,0.012587613625196632,0.023207044017787285,0.010619430392590654
9,-0.270054586390047,0.03135016235080135,0.62101747083513,0.5896673084843287
10,-0.32605008447532724,-0.04434291619137487,0.6322055299069543,0.6765484460983292
11,-0.36634376128329016,0.2954249350615412,1.099409068498486,0.8039841334369449
