0,0,0,12
1,0.060951,0.039915,12
2,0.1792,0.13398,12
3,NaN,NaN,NaN
4,0.34807,0.27018,12
5,0.56213,0.45217,12
6,0.835,0.6847,12
7,1.142,0.97612,12
8,1.4556,1.6138,6
9,2.0052,1.7201,9
10,1.54,1.2913,9
11,2.2766,2.1278,12
12,2.8143,2.862,10
13,3.3341,4.4718,5
14,3.5772,3.9865,10
15,4.9945,4.8696,8
16,3.0944,3.2286,7
17,4.9102,5.4981,10
18,5.8922,8.4516,5
19,5.8567,7.0304,10
20,6.4858,7.9611,10
21,8.6936,9.4299,8
22,7.9456,9.8681,10
23,6.2347,7.8281,2
24,10.089,12.66,7
25,11.158,12.927,8
26,12.041,14.145,8
27,14.653,15.834,7
28,16.418,21.05,5
29,7.4475,7.4611,4
30,16.66,18.753,7
31,24.385,20.498,5
32,25.753,22.409,5
33,34.396,31.506,3
34,30.766,30.18,4
35,29.548,28.994,5
36,17.248,1.9867,3
37,31.033,31.232,5
38,42.518,43.279,3
39,33.634,35.993,5
40,39.077,42.976,4
41,36.26,40.737,5
42,18.05,0.16423,3
43,50.989,54.803,3
44,39.394,44.397,5
45,54.344,59.948,3
46,47.605,54.401,4
47,58.31,65.372,3
48,20.576,0,1
49,78.759,82.284,2
50,139.67,0,1
51,141.76,0,1
52,143.79,0,1
53,145.92,0,1
54,148.49,0,1
55,NaN,NaN,NaN
56,149.12,0,1
57,150.78,0,1
58,153.73,0,1
59,157.4,0,1
60,163.07,0,1
61,NaN,NaN,NaN
62,164.2,0,1
63,NaN,NaN,NaN
64,NaN,NaN,NaN
65,NaN,NaN,NaN
66,NaN,NaN,NaN
67,NaN,NaN,NaN
68,NaN,NaN,NaN
69,NaN,NaN,NaN
70,NaN,NaN,NaN
71,NaN,NaN,NaN
72,NaN,NaN,NaN
73,NaN,NaN,NaN
74,NaN,NaN,NaN
75,NaN,NaN,NaN
76,NaN,NaN,NaN
77,NaN,NaN,NaN
78,NaN,NaN,NaN
79,NaN,NaN,NaN
80,NaN,NaN,NaN
81,NaN,NaN,NaN
82,NaN,NaN,NaN
83,NaN,NaN,NaN
84,NaN,NaN,NaN
85,NaN,NaN,NaN
86,NaN,NaN,NaN
87,NaN,NaN,NaN
88,NaN,NaN,NaN
89,NaN,NaN,NaN
90,NaN,NaN,NaN
91,NaN,NaN,NaN
92,NaN,NaN,NaN
93,NaN,NaN,NaN
94,NaN,NaN,NaN
95,NaN,NaN,NaN
96,NaN,NaN,NaN
97,NaN,NaN,NaN
98,NaN,NaN,NaN
99,NaN,NaN,NaN
100,NaN,NaN,NaN
